Timestamp,Driver_ID,Driver_names,Time_Minutes,Travel_Distance_km,Eye_Closure_Percentage,Blink_Rate,Head_Pitch_Angle
2025-06-01 09:01:00,D1,Sagar,1,1,12,18,2
2025-06-01 09:02:00,D1,Sagar,2,2,12,18,2
2025-06-01 09:03:00,D1,Sagar,3,3,13,18,2
2025-06-01 09:04:00,D1,Sagar,4,4,13,18,2
2025-06-01 09:05:00,D1,Sagar,5,5,13,17,2
2025-06-01 09:06:00,D1,Sagar,6,6,13,17,2
2025-06-01 09:07:00,D1,Sagar,7,7,14,17,2
2025-06-01 09:08:00,D1,Sagar,8,8,14,17,2
2025-06-01 09:09:00,D1,Sagar,9,9,14,17,2
2025-06-01 09:10:00,D1,Sagar,10,10,14,17,2
2025-06-01 09:11:00,D1,Sagar,11,11,15,16,3
2025-06-01 09:12:00,D1,Sagar,12,12,15,16,3
2025-06-01 09:13:00,D1,Sagar,13,13,15,16,3
2025-06-01 09:14:00,D1,Sagar,14,14,15,16,3
2025-06-01 09:15:00,D1,Sagar,15,15,15,16,3
2025-06-01 09:16:00,D1,Sagar,16,16,15,16,3
2025-06-01 09:17:00,D1,Sagar,17,17,16,16,3
2025-06-01 09:18:00,D1,Sagar,18,18,16,16,3
2025-06-01 09:19:00,D1,Sagar,19,19,16,16,3
2025-06-01 09:20:00,D1,Sagar,20,20,16,16,3
2025-06-01 09:21:00,D1,Sagar,21,21,16,16,3
2025-06-01 09:22:00,D1,Sagar,22,22,16,16,3
2025-06-01 09:23:00,D1,Sagar,23,23,17,15,3
2025-06-01 09:24:00,D1,Sagar,24,24,17,15,3
2025-06-01 09:25:00,D1,Sagar,25,25,17,15,3
2025-06-01 09:26:00,D1,Sagar,26,26,17,15,3
2025-06-01 09:27:00,D1,Sagar,27,27,17,15,3
2025-06-01 09:28:00,D1,Sagar,28,28,17,15,3
2025-06-01 09:29:00,D1,Sagar,29,29,18,15,4
2025-06-01 09:30:00,D1,Sagar,30,30,18,15,4
2025-06-01 09:31:00,D1,Sagar,31,31,18,15,4
2025-06-01 09:32:00,D1,Sagar,32,32,18,15,4
2025-06-01 09:33:00,D1,Sagar,33,33,18,15,4
2025-06-01 09:34:00,D1,Sagar,34,34,18,15,4
2025-06-01 09:35:00,D1,Sagar,35,35,18,15,4
2025-06-01 09:36:00,D1,Sagar,36,36,18,15,4
2025-06-01 09:37:00,D1,Sagar,37,37,18,15,4
2025-06-01 09:38:00,D1,Sagar,38,38,18,15,4
2025-06-01 09:39:00,D1,Sagar,39,39,18,15,4
2025-06-01 09:40:00,D1,Sagar,40,40,18,15,4
2025-06-01 09:41:00,D1,Sagar,41,41,18,15,4
2025-06-01 09:42:00,D1,Sagar,42,42,18,15,4
2025-06-01 09:43:00,D1,Sagar,43,43,18,15,4
2025-06-01 09:44:00,D1,Sagar,44,44,18,15,4
2025-06-01 09:45:00,D1,Sagar,45,45,18,15,4
2025-06-01 09:46:00,D1,Sagar,46,46,18,15,4
2025-06-01 09:47:00,D1,Sagar,47,47,18,15,4
2025-06-01 09:48:00,D1,Sagar,48,48,18,15,4
2025-06-01 09:49:00,D1,Sagar,49,49,18,15,4
2025-06-01 09:50:00,D1,Sagar,50,50,18,15,4
2025-06-01 09:51:00,D1,Sagar,51,51,18,15,4
2025-06-01 09:52:00,D1,Sagar,52,52,18,15,4
2025-06-01 09:53:00,D1,Sagar,53,53,18,15,4
2025-06-01 09:54:00,D1,Sagar,54,54,18,15,4
2025-06-01 09:55:00,D1,Sagar,55,55,18,15,4
2025-06-01 09:56:00,D1,Sagar,56,56,18,15,4
2025-06-01 09:57:00,D1,Sagar,57,57,18,15,4
2025-06-01 09:58:00,D1,Sagar,58,58,18,15,4
2025-06-01 09:59:00,D1,Sagar,59,59,18,15,4
2025-06-01 13:01:00,D2,Mohit,1,0.83,22,14,4
2025-06-01 13:02:00,D2,Mohit,2,1.66,23,14,4
2025-06-01 13:03:00,D2,Mohit,3,2.49,23,14,4
2025-06-01 13:04:00,D2,Mohit,4,3.32,24,13,5
2025-06-01 13:05:00,D2,Mohit,5,4.15,24,13,5
2025-06-01 13:06:00,D2,Mohit,6,4.98,25,13,5
2025-06-01 13:07:00,D2,Mohit,7,5.81,25,13,5
2025-06-01 13:08:00,D2,Mohit,8,6.64,26,13,5
2025-06-01 13:09:00,D2,Mohit,9,7.47,26,13,5
2025-06-01 13:10:00,D2,Mohit,10,8.3,27,12,6
2025-06-01 13:11:00,D2,Mohit,11,9.13,27,12,6
2025-06-01 13:12:00,D2,Mohit,12,9.28,12,6
2025-06-01 13:13:00,D2,Mohit,13,10.79,28,12,6
2025-06-01 13:14:00,D2,Mohit,14,11.62,29,12,6
2025-06-01 13:15:00,D2,Mohit,15,12.45,29,12,6
2025-06-01 13:16:00,D2,Mohit,16,13.28,30,12,6
2025-06-01 13:17:00,D2,Mohit,17,14.11,30,12,6
2025-06-01 13:18:00,D2,Mohit,18,14.94,31,11,7
2025-06-01 13:19:00,D2,Mohit,19,15.77,31,11,7
2025-06-01 13:20:00,D2,Mohit,20,16.6,32,11,7
2025-06-01 13:21:00,D2,Mohit,21,17.43,32,11,7
2025-06-01 13:22:00,D2,Mohit,22,18.26,33,11,7
2025-06-01 13:23:00,D2,Mohit,23,19.09,33,11,7
2025-06-01 13:24:00,D2,Mohit,24,19.92,34,11,7
2025-06-01 13:25:00,D2,Mohit,25,20.75,34,11,7
2025-06-01 13:26:00,D2,Mohit,26,21.58,35,11,7
2025-06-01 13:27:00,D2,Mohit,27,22.41,35,11,7
